INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING
10207	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	30	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	675	25	闪避+	-225	-7.5	会心攻击+	6	0	会心防御+	-6	0			0			0			0			0			0			0			0			0			0			0							
10208	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	40	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	975	25	闪避+	-325	-7.5	会心攻击+	8	0	会心防御+	-8	0			0			0			0			0			0			0			0			0			0			0							
10209	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	50	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	1275	25	闪避+	-425	-7.5	会心攻击+	9	0	会心防御+	-9	0			0			0			0			0			0			0			0			0			0			0							
10210	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	60	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	1575	25	闪避+	-525	-7.5	会心攻击+	11	0	会心防御+	-11	0			0			0			0			0			0			0			0			0			0			0							
10211	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	70	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	1925	25	闪避+	-625	-7.5	会心攻击+	12	0	会心防御+	-12	0			0			0			0			0			0			0			0			0			0			0							
10212	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	80	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	2175	25	闪避+	-725	-7.5	会心攻击+	14	0	会心防御+	-14	0			0			0			0			0			0			0			0			0			0			0							
10213	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	90	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	2475	25	闪避+	-825	-7.5	会心攻击+	15	0	会心防御+	-15	0			0			0			0			0			0			0			0			0			0			0							
10214	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	100	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	2775	25	闪避+	-925	-7.5	会心攻击+	17	0	会心防御+	-17	0			0			0			0			0			0			0			0			0			0			0							
10215	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	110	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	3075	25	闪避+	-1025	-7.5	会心攻击+	18	0	会心防御+	-18	0			0			0			0			0			0			0			0			0			0			0							
10216	拼命，加会心，命中减会防闪避	13	STD_IMPACT_013	1	1017	-1	1017	120	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	命中+	3375	25	闪避+	-1125	-7.5	会心攻击+	20	0	会心防御+	-20	0			0			0			0			0			0			0			0			0			0			0							
10217	狂暴，怪物加攻减防	12	STD_IMPACT_016	1	1016	-1	1016	0	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	物理攻击修正率	50	0	物理防御修正率	-50	0	魔法攻击修正率	50	0	魔法防御修正率	-50	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	0	0	MAX_MP修正率	0	0							
10218	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	2705	196.84504	魔法攻击+	2705	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10219	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	4698	196.84504	魔法攻击+	4698	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10220	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	6686	196.84504	魔法攻击+	6686	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10221	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	8680	196.84504	魔法攻击+	8680	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10222	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	10680	196.84504	魔法攻击+	10680	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10223	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	12674	196.84504	魔法攻击+	12674	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10224	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	14661	196.84504	魔法攻击+	14661	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10225	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	16661	196.84504	魔法攻击+	16661	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10226	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	18655	196.84504	魔法攻击+	18655	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10227	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	20643	196.84504	魔法攻击+	20643	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10228	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	22637	196.84504	魔法攻击+	22637	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10229	参合指+内外攻	3	StdImpact003	0	220	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	24637	196.84504	魔法攻击+	24637	196.84504	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											0			0			0			0			0			0							
10230	哪里走	14	STD_IMPACT_014	1	860	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	1	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	可否使用任何技能（CanAction2标记,-1为无效）	1	0	可否移动（CanMove标记,-1为无效）	0	0	无敌否（Unbreakable标记,-1为无效）	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0							
10231	悬枢之痛	79	STD_IMPACT_079	1	856	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	1	0	可否移动的标记	0	0	攻击属性加强百分率	100	0																					0			0			0			0			0			0							
10232	气海之痛	69	STD_IMPACT_069	1	857	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	1	0	影响的技能集合ID(-1代表所有技能)	-1	0	伤害修正率	100	0		0	0																		0			0			0			0			0			0							
10233	司竹空之痛（嘲讽）	74	STD_IMPACT_074	1	858	-1	345	0	1	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	1	0	物理防御修正	0	0	魔法防御修正	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
10234	狂暴加速	14	STD_IMPACT_014	1	859	-1	100	501	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	300	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0							
10235	狂暴加伤害	81	STD_IMPACT_081	1	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	伤害加强百分率	5000																									0			0			0			0			0			0							
10236	土遁	14	STD_IMPACT_014	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	1	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	0	0	无敌否（Unbreakable标记,-1为无效）	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	1200	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0							
10237	出土文物（不免疫外功）	83	STD_IMPACT_083	1	850	-1	701	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	外功伤害免疫标记	1	0	内功伤害免疫标记	0	0		0	0		0	0		0	0		0	0									0			0			0			0			0			0							
10238	出土文物（不免疫内功）	83	STD_IMPACT_083	1	851	-1	701	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	外功伤害免疫标记	0	0	内功伤害免疫标记	1	0		0	0		0	0		0	0		0	0									0			0			0			0			0			0							
10239	出土文物（不免疫冰）	83	STD_IMPACT_083	1	852	-1	702	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	外功伤害免疫标记	0	0	内功伤害免疫标记	0	0		0	0		1	0		1	0		1	0									0			0			0			0			0			0							
10240	出土文物（不免疫火）	83	STD_IMPACT_083	1	853	-1	702	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	外功伤害免疫标记	0	0	内功伤害免疫标记	0	0		1	0		0	0		1	0		1	0									0			0			0			0			0			0							
10241	出土文物（不免疫毒）	83	STD_IMPACT_083	1	854	-1	702	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	外功伤害免疫标记	0	0	内功伤害免疫标记	0	0		1	0		1	0		0	0		1	0									0			0			0			0			0			0							
10242	出土文物（不免疫玄）	83	STD_IMPACT_083	1	855	-1	702	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	外功伤害免疫标记	0	0	内功伤害免疫标记	0	0		1	0		1	0		1	0		0	0									0			0			0			0			0			0							
10243	牛毛毒针	3	StdImpact003	0	6	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	3285	24	伤害数值		0			0			0			0			0			0			0			0							
10244	麻痹毒药BUFF	10	StdImpact010	1	871	-1	-1	0	-1	0	1	0	0	0	0	0	0	0	0	15000	1000	0	0	0	1	0	子效果1数据索引	10248	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0							
10245	牛毛毒针减速	14	STD_IMPACT_014	1	869	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	0	0	无敌否（Unbreakable标记,-1为无效）	0	0	移动速度修正%（0为无效）	-30	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0							
10246	僵尸伤害免疫	83	STD_IMPACT_083	1	-1	-1	702	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	外功伤害免疫标记	1	0	内功伤害免疫标记	1	0		1	0		1	0		1	0		1	0									0			0			0			0			0			0							
10247	金灯万盏	3	StdImpact003	0	6	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	99452	0	伤害数值		0			0			0			0			0			0			0			0							
10248	麻痹毒药IMPACT	3	StdImpact003	0	6	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	3782	0	伤害数值		0			0			0			0			0			0			0			0							
10249	毒性变换BUFF	11	StdImpact011	1	870	-1	1007	100	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	物理攻击+	0	0	物理防御+	0	0	魔法攻击+	0	0	魔法防御+	0	0	冰系攻击修正	0	0	冰系抗性修正	0	0	火系攻击修正	0	0	火系抗性修正	0	0	电系攻击修正	0	0	电系抗性修正	0	0	毒系攻击修正	0	0	毒系抗性修正	-180	0	MAX_HP修正	0	0	MAX_MP修正	0	0							
10250	绿波香露	3	StdImpact003	0	6	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	7890	0	伤害数值		0			0			0			0			0			0			0			0							
10251	金甲	83	STD_IMPACT_083	1	861	-1	702	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	外功伤害免疫标记	1	0	内功伤害免疫标记	0	0		0	0		0	0		0	0		0	0			0			0			0			0			0			0			0			0							
10252	明镜	83	STD_IMPACT_083	1	862	-1	702	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	外功伤害免疫标记	0	0	内功伤害免疫标记	1	0		0	0		0	0		0	0		0	0			0			0			0			0			0			0			0			0							
10253	兄弟（加伤害）	81	STD_IMPACT_081	1	863	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	伤害加强百分率	150	0		0	0		0	0		0	0		0	0		0	0			0			0			0			0			0			0			0			0							
10254	兄弟（加移动）	14	STD_IMPACT_014	1	-1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	0	0	无敌否（Unbreakable标记,-1为无效）	0	0	移动速度修正%（0为无效）	150	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0							
10255	暗雷	90	StdImpact090	1	864	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	9000	0	0	0	0	0	0	脚本ID	402268	0			0			0			0			0			0			0			0			0			0			0			0			0			0							
10256	暗雷（伤害）	3	StdImpact003	0	-1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	49483	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10257	精算	84	STD_IMPACT_084	1	866	-1	701	0	1	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	外功伤害参与平衡计算的标记	1	0	内功伤害参与平衡计算的标记	1	0		0	0		0	0		0	0		0	0			0			0			0			0			0			0			0			0							
10258	精算加倍	69	STD_IMPACT_046	1	-1	-1	36	500	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	影响的技能集合ID(-1代表所有技能)	-1	0	伤害修正率	100	0																					0			0			0			0			0			0							
10259	不平道人普攻(远程)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0							
10260	烟花	90	StdImpact090	1	865	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	9000	0	0	0	0	0	0	脚本ID	402268	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0							
10261	有趣(HPHOT)	10	StdImpact010	1	867	-1	701	0	1	0	0	0	0	1	0	0	0	0	0	600000	1000	0	0	0	1	0	子效果1数据索引	10267	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0							
10262	有趣(MPHOT)	10	StdImpact010	1	887	-1	701	0	1	0	0	0	0	1	0	0	0	0	0	600000	1000	1	0	0	0	0	子效果1数据索引	10268	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0							
10263	有趣(加速)	14	STD_IMPACT_014	1	873	-1	701	0	1	0	0	0	0	1	0	0	0	0	0	600000	0	0	0	0	1	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	可否使用任何技能（CanAction2标记,-1为无效）	1	0	可否移动（CanMove标记,-1为无效）	1	0	无敌否（Unbreakable标记,-1为无效）	0	0	移动速度修正%（0为无效）	15	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0		-1	0		-1	0							
10264	震慑(HPDOT)	10	StdImpact010	1	868	-1	702	0	-1	0	0	0	0	1	0	0	0	0	0	600000	1000	1	0	0	0	0	子效果1数据索引	10269	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0							
10265	震慑(MPDOT)	10	StdImpact010	1	888	-1	702	0	-1	0	0	0	0	1	0	0	0	0	0	600000	1000	1	0	0	0	0	子效果1数据索引	10270	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0							
10266	震慑(减速)	14	STD_IMPACT_014	1	874	-1	702	0	-1	0	0	0	0	1	0	0	0	0	0	600000	0	0	0	0	1	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	可否使用任何技能（CanAction2标记,-1为无效）	1	0	可否移动（CanMove标记,-1为无效）	1	0	无敌否（Unbreakable标记,-1为无效）	0	0	移动速度修正%（0为无效）	-15	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0		-1	0		-1	0							
10267	有趣(HPH)	4	StdImpact004	0	10	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	200	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10268	有趣(MPH)	4	StdImpact004	0	11	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	0	0	MP修改量	100	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10269	震慑(HPD)	4	StdImpact004	0	6	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-200	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10270	震慑(MPD)	4	StdImpact004	0	7	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	0	0	MP修改量	-100	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10271	小无相功	35	StdImpact035	1	17	-1	17	10	-1	0	1	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
10280	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-237	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10281	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-455	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10282	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-692	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10283	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-1146	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10284	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-1837	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10285	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-2983	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10286	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-4820	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10287	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-7802	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10288	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-12621	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10289	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-20423	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10290	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-33044	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10291	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-53466	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10292	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-86509	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10293	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-139975	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10294	剑舞（紫色）	4	StdImpact004	0	230	-1	704	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-226484	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10295	剑舞（红色）	4	StdImpact004	0	231	-1	705	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-237	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
10296	剑舞（红色）	4	StdImpact004	0	231	-1	705	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-455	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0		0	0		0	0									0			0			0			0			0			0							
10297	剑舞（红色）	4	StdImpact004	0	231	-1	705	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-692	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0															0			0			0			0			0			0							
